,ref,year,var,question
249,E0022341,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200341
250,E0022342,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200342
251,E0022343,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200343
252,E0022344,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200344
253,E0022345,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200345
254,E0022346,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200346
255,E0022347,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200347
256,E0022348,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200348
257,E0022349,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200349
258,E0022350,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200350
259,E0022351,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200351
260,E0022352,XRND,2003 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200352
261,E0022401,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200401
262,E0022402,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200402
263,E0022403,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200403
264,E0022404,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200404
265,E0022405,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200405
266,E0022406,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200406
267,E0022407,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200407
268,E0022408,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200408
269,E0022409,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200409
270,E0022410,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200410
271,E0022411,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200411
272,E0022412,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200412
273,E0022413,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200413
274,E0022414,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200414
275,E0022415,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200415
276,E0022416,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200416
277,E0022417,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200417
278,E0022418,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200418
279,E0022419,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200419
280,E0022420,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200420
281,E0022421,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200421
282,E0022422,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200422
283,E0022423,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200423
284,E0022424,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200424
285,E0022425,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200425
286,E0022426,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200426
287,E0022427,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200427
288,E0022428,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200428
289,E0022429,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200429
290,E0022430,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200430
291,E0022431,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200431
292,E0022432,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200432
293,E0022433,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200433
294,E0022434,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200434
295,E0022435,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200435
296,E0022436,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200436
297,E0022437,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200437
298,E0022438,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200438
299,E0022439,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200439
300,E0022440,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200440
301,E0022441,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200441
302,E0022442,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200442
303,E0022443,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200443
304,E0022444,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200444
305,E0022445,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200445
306,E0022446,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200446
307,E0022447,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200447
308,E0022448,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200448
309,E0022449,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200449
310,E0022450,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200450
311,E0022451,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200451
312,E0022452,XRND,2004 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200452
313,E0022501,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200501
314,E0022502,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200502
315,E0022503,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200503
316,E0022504,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200504
317,E0022505,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200505
318,E0022506,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200506
319,E0022507,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200507
320,E0022508,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200508
321,E0022509,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200509
322,E0022510,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200510
323,E0022511,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200511
324,E0022512,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200512
325,E0022513,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200513
326,E0022514,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200514
327,E0022515,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200515
328,E0022516,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200516
329,E0022517,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200517
330,E0022518,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200518
331,E0022519,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200519
332,E0022520,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200520
333,E0022521,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200521
334,E0022522,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200522
335,E0022523,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200523
336,E0022524,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200524
337,E0022525,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200525
338,E0022526,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200526
339,E0022527,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200527
340,E0022528,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200528
341,E0022529,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200529
342,E0022530,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200530
343,E0022531,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200531
344,E0022532,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200532
345,E0022533,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200533
346,E0022534,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200534
347,E0022535,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200535
348,E0022536,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200536
349,E0022537,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200537
350,E0022538,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200538
351,E0022539,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200539
352,E0022540,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200540
353,E0022541,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200541
354,E0022542,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200542
355,E0022543,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200543
356,E0022544,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200544
357,E0022545,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200545
358,E0022546,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200546
359,E0022547,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200547
360,E0022548,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200548
361,E0022549,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200549
362,E0022550,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200550
363,E0022551,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200551
364,E0022552,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200552
365,E0022553,XRND,2005 EMPLOYMENT: TOTAL HOURS WORKED WEEK 53,EMP_HOURS_200553
366,E0022601,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200601
367,E0022602,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200602
368,E0022603,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200603
369,E0022604,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200604
370,E0022605,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200605
371,E0022606,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200606
372,E0022607,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200607
373,E0022608,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200608
374,E0022609,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200609
375,E0022610,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200610
376,E0022611,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200611
377,E0022612,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200612
378,E0022613,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200613
379,E0022614,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200614
380,E0022615,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200615
381,E0022616,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200616
382,E0022617,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200617
383,E0022618,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200618
384,E0022619,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200619
385,E0022620,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200620
386,E0022621,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200621
387,E0022622,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200622
388,E0022623,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200623
389,E0022624,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200624
390,E0022625,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200625
391,E0022626,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200626
392,E0022627,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200627
393,E0022628,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200628
394,E0022629,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200629
395,E0022630,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200630
396,E0022631,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200631
397,E0022632,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200632
398,E0022633,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200633
399,E0022634,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200634
400,E0022635,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200635
401,E0022636,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200636
402,E0022637,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200637
403,E0022638,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200638
404,E0022639,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200639
405,E0022640,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200640
406,E0022641,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200641
407,E0022642,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200642
408,E0022643,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200643
409,E0022644,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200644
410,E0022645,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200645
411,E0022646,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200646
412,E0022647,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200647
413,E0022648,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200648
414,E0022649,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200649
415,E0022650,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200650
416,E0022651,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200651
417,E0022652,XRND,2006 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200652
418,E0022701,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200701
419,E0022702,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200702
420,E0022703,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200703
421,E0022704,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200704
422,E0022705,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200705
423,E0022706,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200706
424,E0022707,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200707
425,E0022708,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200708
426,E0022709,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200709
427,E0022710,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200710
428,E0022711,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200711
429,E0022712,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200712
430,E0022713,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200713
431,E0022714,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200714
432,E0022715,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200715
433,E0022716,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200716
434,E0022717,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200717
435,E0022718,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200718
436,E0022719,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200719
437,E0022720,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200720
438,E0022721,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200721
439,E0022722,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200722
440,E0022723,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200723
441,E0022724,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200724
442,E0022725,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200725
443,E0022726,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200726
444,E0022727,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200727
445,E0022728,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200728
446,E0022729,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 29,EMP_HOURS_200729
447,E0022730,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 30,EMP_HOURS_200730
448,E0022731,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 31,EMP_HOURS_200731
449,E0022732,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 32,EMP_HOURS_200732
450,E0022733,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 33,EMP_HOURS_200733
451,E0022734,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 34,EMP_HOURS_200734
452,E0022735,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 35,EMP_HOURS_200735
453,E0022736,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 36,EMP_HOURS_200736
454,E0022737,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 37,EMP_HOURS_200737
455,E0022738,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 38,EMP_HOURS_200738
456,E0022739,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 39,EMP_HOURS_200739
457,E0022740,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 40,EMP_HOURS_200740
458,E0022741,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 41,EMP_HOURS_200741
459,E0022742,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 42,EMP_HOURS_200742
460,E0022743,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 43,EMP_HOURS_200743
461,E0022744,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 44,EMP_HOURS_200744
462,E0022745,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 45,EMP_HOURS_200745
463,E0022746,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 46,EMP_HOURS_200746
464,E0022747,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 47,EMP_HOURS_200747
465,E0022748,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 48,EMP_HOURS_200748
466,E0022749,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 49,EMP_HOURS_200749
467,E0022750,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 50,EMP_HOURS_200750
468,E0022751,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 51,EMP_HOURS_200751
469,E0022752,XRND,2007 EMPLOYMENT: TOTAL HOURS WORKED WEEK 52,EMP_HOURS_200752
470,E0022801,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 01,EMP_HOURS_200801
471,E0022802,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 02,EMP_HOURS_200802
472,E0022803,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 03,EMP_HOURS_200803
473,E0022804,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 04,EMP_HOURS_200804
474,E0022805,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 05,EMP_HOURS_200805
475,E0022806,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 06,EMP_HOURS_200806
476,E0022807,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 07,EMP_HOURS_200807
477,E0022808,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 08,EMP_HOURS_200808
478,E0022809,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 09,EMP_HOURS_200809
479,E0022810,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 10,EMP_HOURS_200810
480,E0022811,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 11,EMP_HOURS_200811
481,E0022812,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 12,EMP_HOURS_200812
482,E0022813,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 13,EMP_HOURS_200813
483,E0022814,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 14,EMP_HOURS_200814
484,E0022815,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 15,EMP_HOURS_200815
485,E0022816,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 16,EMP_HOURS_200816
486,E0022817,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 17,EMP_HOURS_200817
487,E0022818,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 18,EMP_HOURS_200818
488,E0022819,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 19,EMP_HOURS_200819
489,E0022820,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 20,EMP_HOURS_200820
490,E0022821,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 21,EMP_HOURS_200821
491,E0022822,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 22,EMP_HOURS_200822
492,E0022823,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 23,EMP_HOURS_200823
493,E0022824,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 24,EMP_HOURS_200824
494,E0022825,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 25,EMP_HOURS_200825
495,E0022826,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 26,EMP_HOURS_200826
496,E0022827,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 27,EMP_HOURS_200827
497,E0022828,XRND,2008 EMPLOYMENT: TOTAL HOURS WORKED WEEK 28,EMP_HOURS_200828
